Detailed Overview of Guidelines-Informed Charting,,,,,,,,,,
Name/Title,Recognition of Client's Social Background,Recognition of Client's Cultural Background,Accessibility Options,Potential Involvement of a Therapist,International and local ethics guidelines,"Usage of evidenced, accepted therapy models",Data Safety and Security,Adaptability & Sustainability,Flexible Support,Tangible Aspects of System
Anti Stress Meditation,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, description states everything is local on the phone only.",N/A,"Yes, app encourages to email the developer.",No
Colors: Anti-Stress Relax Sleep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, app encourages to email the developer and to engage in collaboration.",No
Yoga poses for stress relief: Stretching exercises,N/A,N/A,N/A,N/A,N/A,"So-so, yoga is evidenced, the app itself is not.",N/A,The app offers customisable features (custom yoga flows and stretches).,No,No
Music for Meditation,N/A,N/A,N/A,N/A,N/A,"So-so, meditation is evidenced, but the app is not explicit about providing documentation.",N/A,N/A,No,No
Breath Ball: The Stress Relief Breathing Exercise.,N/A,N/A,N/A,"Yes, but not made explicit",N/A,"Yes, biofeedback and breathwork are evidenced, but the app in itself is not.","Yes, description states personal data is not collected.","The app offers customisable features, e.g., your own breath patterns","Yes, app encourages to email the developer.",No
Anti-stress Chromotherapy,N/A,N/A,N/A,N/A,N/A,"No, chroma therapy is pseudoscience",N/A,the app lets you choose the colours you'd like to cycle through,No,No
Daily Yoga For Stress Relief,N/A,N/A,N/A,"Yes,but not made explicit",N/A,"Yes, but not explicitly evidenced",N/A,"the user can choose which yoga poses and flows to follow, there are also multiple difficulty options",No,No
Stress Less Cards,N/A,N/A,N/A,"Yes, not made explicit",N/A,"Yes, but not explicitly evidenced further than just naming them.",N/A,"Yes, user can pick exercises as they see fit","Yes, people are encouraged to write to the developer and interact on social media with them.",No
Wysa: stress depression & anxiety therapy chatbot,N/A,N/A,N/A,N/A,N/A,"Yes, but not explicitly evidenced further than just naming them",N/A,"Yes, user can pick exercises as they see fit",No,No
Relax Lite: Stress Relief,N/A,N/A,"Yes, different languages are available",N/A,N/A,"So-so, not explicitly referenced, but yoga, mindfulness and biofeedback are recognised paradigms",N/A,"different languages are available, people are free to choose which exercises they'd like to use",No,No
End Anxiety Hypnosis - Stress Panic Attack Help,N/A,N/A,N/A,N/A,N/A,"So-so, binaural beats and hypnosis are recognised in the literature, but it is not evidenced as hard medicine / science - some of it is a bit pseudoscience",N/A,the user can choose how many episodes / sections they listen to,"Yes, multiple points of contact are available, i.e., a support website",No
Headspace: Meditation & Sleep,N/A,N/A,N/A,N/A,"Yes, due tocConducting research with universities - https://www.headspace.com/science/meditation-research","Yes, meditation is evidenced, it also provides a list of papers and resources to read (https://www.headspace.com/science/meditation-research).",N/A,"the user can choose which programs to listen to (e.g., go at your pace)","Yes, through their websites",No
Pacifica - Stress & Anxiety,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy - links to CBT meta-analysis etc; they say Sanvello has been evaluated but there is not a direct link to materials (""In a randomized, wait-listed controlled study of 500 adults, Sanvello was shown to decrease symptoms of anxiety and depression over the course of 30 days. Participants also reported increased self-efficacy and showed sustained improvement after 30 days—even after participants stopped using the app."")",N/A,The user can choose which programs to listen to (go at your pace).,"Yes, through their websites and via email.",No
Sleep sounds - Relax Yoga Sleep Meditation,N/A,N/A,N/A,N/A,N/A,"No, relaxing music seems very general in its approach.",N/A,"Yes, user can choose which sounds and music to listen to.","Yes, the developer encourages contact via email.",No
Deep Meditation: Relaxation & Sleep Meditation App,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy - meditation is evidenced, but the app doesn't link to anything.",N/A,"Yes, user can choose which sounds and music to listen to - also allows for dark theme.",No,No
Replika,N/A,N/A,N/A,N/A,N/A,"No, no explicit information.",N/A,N/A,"No, not mentioned",No
Moodpath - Depression & Anxiety Test,N/A,N/A,N/A,"Yes, explicitly mentioned that assessments from the app can be shared with GPs and doctors etc.","Yes, due to research backed by a university in Germany","Yes, research-backed and uses traditional ideas of assessment and therapy (CBT, self-help, tracking)",N/A,"Yes, user can pick exercises as they see fit.","Yes, lots of points of contact given.",No
Youper - Emotional Health,N/A,N/A,N/A,N/A,N/A,"Yes, explicitly mentioned - ACT, CBT, mindfulness",N/A,"user is free to pick exercises, chatbot is personal","Yes, desciption links to support centre",No
Anxiety & Panic Relief,N/A,N/A,N/A,N/A,N/A,No,N/A,user can vary how often they listen to the exercises,"No, not mentioned",No
Calm - Meditate Sleep Relax,N/A,N/A,N/A,N/A,N/A,"So-so, not explicit, but mindfulness and meditation are evidenced.",N/A,"user is free to pick audios, stories and programmes by themselves","No, not explicit",No
Rootd - Panic Attack & Anxiety Relief,N/A,N/A,N/A,N/A,N/A,"not explicit, but mindfulness and meditation are evidenced",N/A,user is free to pick what tools / features they'd like to use,"No, not explicit",No
Happy Being - Mindfulness wellness coach,N/A,N/A,N/A,"Yes, description addresses therapists.",N/A,"Yes, explicitly mentioned - CBT, mindfulness",N/A,user is free to pick what tools / features they'd like to use,"No, not explicit",No
Moodrise by AeBeZe Labs,N/A,N/A,N/A,N/A,N/A,No,N/A,content is supposedly tailored to each user,"No, not explicit",No
CBT-i Coach,N/A,N/A,N/A,"Yes - they state: “CBT-i Coach is intended to augment face-to-face care with a healthcare professional. It can be used on its own, but it is not intended to replace therapy for those who need it.”","Yes, due to being based on (US governmental) research.","Yes, based on CBT research.",N/A,N/A,"No, not explicit",No
Self-Esteem Blackboard,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy, CBT is evidenced and explicitly mentioned - but the app itself hasn't been evaluated.",N/A,"No, one size fits all","No, not explicit","Yes, you can email your affirmation to you (also to print)."
Self Hypnosis Audio Companion,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy (meditation and mindfulness), but the app itself has not been evaluated.",N/A,"Yes, the user is free to make their own playlists of audio content",N/A,No
Overcome Narcissism Self & Ego by Angie Atkinson,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy (meditation and mindfulness), but the app itself has not been evaluated",N/A,"Yes, the user is free to make their own playlists of audio content",N/A,No
30 Days Challenge - Zen life: Happy Smile and Fun,N/A,N/A,N/A,N/A,N/A,"Yes, mindfulness is evidenced in general in general and explicitly mentioned.",N/A,"No, one size fits all","No, not explicit",No
Get Self-Confidence! Hypnosis,N/A,N/A,N/A,N/A,N/A,"No, NLP and hypnosis are both pseudoscience-y.",N/A,"No, one size fits all","No, not explicit",No
Positive Mindfulness Coach,N/A,N/A,N/A,N/A,N/A,"Yes, mindfulness is evidenced in general in general and explicitly mentioned.",N/A,"Yes, the user is free to use the app as they see fit (do exercises, listen to audio)","The developer encourages contact, there is also a peer-supported community group in Facebook",No
Relax & Sleep Well: Hypnosis and Meditation,N/A,N/A,N/A,N/A,N/A,So-so - mindfulness and self-help is evidenced - but the app itself is not evidenced - hypnosis is pseudoscience.,N/A,"Yes, the user is free to use the app as they see fit (do exercises, listen to audio)","No, not explicit",No
Primed Mind - Motivation Mindset & Life Coach,N/A,N/A,N/A,N/A,N/A,"So-so, mindfulness, meditation and self-help are evidenced - but the app itself is not evidenced - hypnosis is pseudoscience-y",N/A,"Yes, the user is free to use the app as they see fit (do exercises, listen to audio)","No, not explicit",No
Jealousy Test & CBT Self-Help,N/A,"Yes, the app allows being hidden from the home screen, also allows for being password-protected and editing of previous entries.",Yes! High contrast and extra-large font-size are available.,N/A,N/A,"So-so, CBT is evidenced, but the app itself is not evaluated","Yes, the app allows being hidden from the home screen, also allows for being password-protected and editing of previous entries","Yes, the user is free to use the app as they see fit (do exercises, listen to audio)","No, not explicit",No
Self-help Anxiety Management,N/A,N/A,N/A,"Yes, explicitly mentioned.",N/A,"So-so, CBT is evidenced, but the app itself is not evaluated",N/A,"Yes, the user is free to use the app as they see fit (do exercises, use different aspects)","No, not explicit",No
Self Esteem Hypnosis,N/A,N/A,N/A,N/A,N/A,Not clear,N/A,"No, one size fits all","No, not explicit",No
Stop Panic & Anxiety Self-Help,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy, CBT and Qi Gong are evidenced and explicitly mentioned - but the app itself has not been evaluated.",N/A,"No, one size fits all","No, not explicit",No
MindShift CBT - Anxiety Canada,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy - CBT is evidenced, but the app is not evaluated",N/A,"Yes, the user is free to use the app as they see fit (do exercises, use different aspects).","No, not explicit",No
Serenity: Guided Meditation & Mindfulness,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy – mindfulness and meditation are evidenced, but the app is not evaluated.",N/A,"Yes, the user is free to use the app as they see fit (do exercises, use different aspects).","No, not explicit",No
Binaural Beats Therapy,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy – mindfulness and meditation are evidenced, but the app is not evaluated - binaural beats are still under review.",N/A,"Yes, the user is free to use the app as they see fit (do exercises, use different aspects).","Yes, open development and support through multiple channels (email, Facebook, Twitter etc).",No
Heal And Transform Meditations,N/A,N/A,N/A,N/A,N/A,No,N/A,"No, one size fits all","Yes, multiple points of contact are available (also through Facebook).",No
DBT Travel Guide,N/A,N/A,N/A,"Yes, explicitly mentioned that the app offers a schema mode for a therapist (“For the DBT therapist, the app contains a ‘think of’ scheme, full of practical guidelines…”).",N/A,"Yes, by proxy - mindfulness and DBT are evidenced, but the app by itself has not been evaluated.",N/A,"Yes, the user is free to use the app as they see fit.",N/A,No
Quirk CBT (Cognitive Behavioral Therapy),N/A,"Yes, allows for password protection.",N/A,N/A,N/A,"Yes, by proxy - CBT is evidenced, but the app is not evaluated.",N/A,"Yes, the user is free to use the app as they see fit - also open-source project, so community could get involved.",N/A,No
Mindshine - Personal Training for the Mind,N/A,N/A,N/A,N/A,N/A,No,N/A,"Yes, the user is free to use the app as they see fit.",N/A,No
Mindworks Guided Meditation,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy - meditation is evidenced, but the app doesn't link to anything.",N/A,"Yes, the user is free to use the app as they see fit.","Yes, with multiple points of contact offered",No
Shine - Self-Care & Meditation,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy - meditation is evidenced, but the app doesn't link to anything.",N/A,"Yes, the user is free to use the app as they see fit.","No, not explicit",No
Relaxing Sounds Spa,N/A,N/A,N/A,N/A,N/A,NA,N/A,"Yes, the user is free to use the app as they see fit.","No, not explicit",No
The Mindfulness App: relax calm focus and sleep,N/A,N/A,N/A,N/A,N/A,"So-so, by proxy - meditation and mindfulness are evidenced, but the app doesn't link to anything.",N/A,"Yes, the user is free to use the app as they see fit.","No, not explicit",No
MoodSpace,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy, cbt, mcbt, mindfulness and meditation are evidenced, but the app itself has not been evaluated",N/A,"Yes, the user is free to use the app as they see fit.","No, not explicit",No
EmoPaint – Paint your emotions!,N/A,N/A,N/A,N/A,N/A,"So-so, mindfulness is evidenced - ""emotional awareness” and “painting bodily sensations” seem more experimental - but the app itself has not been evaluated.",N/A,N/A,"No, not explicit","No – however, it deals with tangible aspects of the body."
My Affirmations - Self Motivation,N/A,N/A,N/A,N/A,N/A,"So-so, affirmations are somewhat evidenced (however, they are normally integrated in holistic therapy) - but the app itself has not been evaluated.",N/A,"Yes! Lots of settings are available, people can choose their own background images, loop the affirmations, and record their own","No, not explicit",No
eMoods Bipolar Mood Tracker,N/A,N/A,Yes.,"Yes, the description encourages the usage of the app with a practitioner.",N/A,"Yes, CBT is evidenced (also explicitly mentioned), however the app itself has not been evaluated.","Yes, description states everything is local on the phone only.","Yes, the user can use the app as they see fit.","No, not explicit","Yes, you can email yourself a printable pdf of your moods."
,,,“eMoods now includes a dark color theme and a colorblind-friendly color scheme”,,,,,,,
,,,,,,,,,,
I Meet Myself,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No, one size fits all","No, not explicit",No
eQuoo: Emotional Fitness Game,N/A,N/A,N/A,N/A,N/A,"So-so - they say they are ""EVIDENCE-BASED"" but do not state their exact therapy paradigm / RCT is still ongoing.",N/A,N/A,"No, not explicit",No
Live Life: Guided Meditation & relaxation with CBT,N/A,N/A,N/A,N/A,N/A,"So-so - CBT is evidenced, hypnosis is pseudo-science - the app itself has not been evaluated.",N/A,"Yes, the user is free to choose meditations and audio as they see fit","No, not explicit",No
Reflectly - Journal / Diary,N/A,N/A,N/A,N/A,N/A,"Yes - all therapy paradigms have been evidenced, but the app itself has not been evaluated.",N/A,"Yes, the app “adapts” to the user.","Yes! Multiple points of contact (social media, website, and email).",No
Dbt911,N/A,N/A,"Yes, different languages are available.",N/A,N/A,"Yes, DBT and mindfulness are established.",N/A,"Yes, people are free to choose how they use each tool and when / there is space for your own skills/ideas.","Yes, also community-based translations","Yes, you can make a report out of what you input into the app."
Depression CBT Self-Help Guide,N/A,N/A,"Yes, different font sizes, background contrast are available.",N/A,N/A,"Yes, CBT is evidenced (also explicitly mentioned), however the app itself has not been evaluated.","Yes, there is password protection for the app","Yes, people can choose how to use the app's content by themselves, according to their own needs","No, not explicit",No
Beat Depression,N/A,N/A,N/A,N/A,N/A,"NO - does mention research and experts, but does notevidence or elaborate.",N/A,"No, one size fits all","No, not explicit",No
#SelfCare,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,"Yes! multiple points of contact (social media, website and email)",No
Anxiety Depression & Stress Relief Audio Courses,N/A,N/A,N/A,N/A,N/A,"So-so - they offer CBT-informed content, but the app itself has not been evaluated.",N/A,"Yes, the person using the app is free to go at their own page and choose what they listen to.",Yes! They offer refunds and customer support.,No
PHQ-9 Depression module,N/A,N/A,N/A,N/A,N/A,Yes! phq-9 is evidenced,N/A,"No, one size fits all.","No, not explicit",No
Cognitive Behavioral Therapy: Depression & Anxiety,N/A,N/A,N/A,N/A,N/A,"Yes, CBT is evidenced (also explicitly mentioned), however the app itself has not been evaluated.",N/A,"Yes, the person using the app is free to go at their own page and choose what they listen to.","No, not explicit",No
FearTools - Anxiety Aid,N/A,N/A,N/A,"Yes, mentions it and offers resources for therapists.",N/A,"So-so - the app uses the GAD and other techniques that are evidenced by proxy, but it is not explicitly listed.",N/A,"Yes, the person using the app can use it as they see fit.",Yes! The app offers a point of contact via email and invites feedback.,No
Anxiety Test,N/A,N/A,N/A,"Yes, mentions so in the description - although more as a caution to not overestimate the app.",N/A,"Yes, only showcases and uses the GAD-7.",N/A,"No, one size fits all",Yes! The app offers a point of contact via email and invites feedback.,No
MoodMission - Cope with Stress Moods & Anxiety,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy, CBT is evidenced, so is mindfulness.",N/A,"Yes, the person using the app is free to choose what “mission” they want to do.",N/A,N/A
Atmosphere: Binaural Therapy Meditation,N/A,N/A,N/A,N/A,N/A,So-so - binaural beats and their effectiveness are still being discussed.,N/A,"Yes, the person using the app can choose their own beat patterns and choose which beats to listen to.","No, not explicit",No
Social Anxiety Test,N/A,N/A,N/A,N/A,N/A,Yes - SPIN / SAD are evidenced.,N/A,"No, one size fits all","No, not explicit",No
Viridi,N/A,N/A,N/A,N/A,N/A,No,N/A,"Yes, people are free to plant and care for the succulents as they see fit.","No, not explicit",No
🎨Colorish - Free mandala coloring book for adults,N/A,N/A,N/A,N/A,N/A,"Yes, by proxy - art therapy and mindfulness are both established practises.",N/A,"Yes, people are free to pick and choose what to colour in.","No, not explicit",No
